name,slug,created_at,updated_at,id
Bill Conti,bill-conti,2020-02-22 16:16:03.546802,2020-02-22 16:16:03.546802,ce2f319d-3a41-447f-90f9-3604fa064796
Martha and The Vandellas,martha-and-the-vandellas,2020-02-22 16:16:03.546802,2020-02-22 16:16:03.546802,fc2952cf-11bd-498e-9e9b-3a4f8747ce81
"Gutwillig, Joey Friedman",gutwillig-joey-friedman,2022-11-21 13:13:34.972287,2022-11-21 13:13:34.972287,115c12e3-9e06-4c81-954b-db6dfe7388f8
The Alan Parsons Project,the-alan-parsons-project,2023-01-02 22:42:31.183622,2023-01-02 22:42:31.183622,67be7840-c5c5-4c5c-9add-e7386d79bbef
"Gutwillig, Magner, Friedman",gutwillig-magner-friedman,2023-01-20 18:00:25.724452,2023-01-20 18:00:25.724452,71cad423-1917-4734-a562-e762726a8f6d
"The Disco Biscuits, Friedman",the-disco-biscuits-friedman,2023-01-20 18:00:25.724452,2023-01-20 18:00:25.724452,8a2d334a-3281-4a86-a2b4-5f161f819988
Dead or Alive,dead-or-alive,2023-06-02 01:26:48.345126,2023-06-02 01:26:48.345126,ba995536-178d-4faf-af1b-90882d3013bf
"Jon Gutwillig, Joey Friedman, Alex Mazer",barber-joey-mazer,2023-06-02 01:26:48.345126,2023-06-02 01:26:48.345126,bafe727a-c66e-479c-9a7b-682d44c5a631
"Jon Gutwillig, Nicholas Schmidle, Alex Mazer",barber-schmidle-mazer,2023-06-02 01:26:48.345126,2023-06-02 01:26:48.345126,b29467c4-d34f-4569-ac70-523346ceecf6
"Gutwillig, Brownstein, Magner, and Friedman",gutwillig-brownstein-magner-friedman,2023-06-13 14:26:14.463665,2023-06-13 14:26:14.463665,e8fab4d7-bf21-4dac-b57e-fb2548411589
"Gutwillig, Magner, Schmidle, Mazer",gutwillig-magner-schmidle-mazer,2023-06-15 20:45:35.789831,2023-06-15 20:45:35.789831,a182f8aa-b279-4ffa-8207-d599d56a7535
"Brownstein, Friedman, Gutwillig, Magner",brownstein-friedman-gutwillig-magner,2023-06-15 20:45:37.408576,2023-06-15 20:45:37.408576,622a1d4c-5823-4a76-add9-977a6c32ddc7
"Brownstein, Magner",brownstein-magner,2020-02-22 16:16:03.546802,2020-02-22 16:16:03.546802,ce699602-28b5-469b-b893-cf81a9aa36a0
